score,distance_km,osm_name,grid3_name,decision_id
0.6624,0.00,Kazar Daw Health Post,Kazardawa Health Post,xwd:sha256:81138227d2fdbb33b14ef0ee91c5446509a9ea7c135c6101af0066b215644f6a
0.6622,0.00,Ririwai Primary Health Centre,Riruwai Primary Health Center,xwd:sha256:1df38b9d09905ccf2e12f266eab87051bc167646996066d5162887ae8bfc386e
0.6613,0.00,Kafin Sidda Health Post,Kafinsidda Health Post,xwd:sha256:3221a62919ae6c16ffd085087ca40c829e5596501f5d90a92b05a342db81b576
0.6613,0.00,Yatsi Health Post,Gyauro Health Post,xwd:sha256:0069663452e11b0bef454d523b8241b43b9a28a71372ddebda4f0aa520706db8
0.6601,0.00,Sambauna Primary Health Centre,Sanbauna Primary Health Center,xwd:sha256:a24b94c28c6396c139aa60e25064755d40d4e0ee1d16a6a35b5c035e6007bf5b
0.6598,0.00,Tashar Basa Health Post,Tasharbasa Health Post,xwd:sha256:aec569a4ef084502fc76744c996e1306df127953ebda3f03d92e41a554229616
0.6595,0.01,Fadi Sonka Health Post,Fadisonka Health Post,xwd:sha256:4ab4405ac33030e45a9612a1fefb41481870abb59ff4f0463eefd5e3754bf950
0.6592,1.15,Yola Primary Health Centre,Yola Health Post,xwd:sha256:e7706ac912d2db49492f16f15f65600b87796249179d190ccb8522f31b4db263
0.6589,1.39,Hotoro Primary Health Centre,Hotoro Danmarke Primary Health Clinic,xwd:sha256:90a0c6efa3b94af117f53f3d51a4df79929a19257d23e929ac5e733569b3febd
0.6584,86.41,Tudun Wada Health Post,Tudun Wada Ggss Health Post,xwd:sha256:177ffff44aded49f3515ed3dbed59fd15e2f659655a40c3dd3fe73957f8d79cb
0.6575,0.00,Kwachiri Primary Health Centre,Kwacire Primary Health Center,xwd:sha256:ab7e2cc5534484e742e8ebe4a7a52c07abaa3da28ac4f1fd6458a86f5faa21a3
0.6571,0.00,Garko Primary Health Centre,Garko Ahip Family Health Clinic,xwd:sha256:2886c947554a68bad6f6dbb89805865c2dab7eb117e71f828e198b36f7132747
0.6570,0.02,Gurungawa Health Post,Gurun Gawa Health Post,xwd:sha256:2ab76897d86338bb3e0fe92596a6d34064bbb52b1f35574c9a22af0cc61c2c30
0.6562,0.05,Ajingi Primary Health Centre,Ajingi Cottage Hospital,xwd:sha256:53b350d5bb1c22696a0a11d003fe2d9723d3c0a84a110fd34c7f1d0bb21e4b4c
0.6561,0.00,Sarigarin Health Post,Sari Girin Health Post,xwd:sha256:443b7c02d5a1e83d9c31c468591687945d061dbe0ea0a0fe11da3c9562bac9c6
0.6559,0.01,Nigerian Air Force Primary Health Centre,465 Nigerian Air Force Base Hospital,xwd:sha256:9d5e5b448f37b893caa51389aed5bdd9a047096717f53093fdbde00b7e7b0840
0.6557,0.13,National Orthopaedic Hospital,Dala National Orthophedic Hospital,xwd:sha256:14800ce1ace11d217532cdd0fc72e92889367d1d2dc19cd709fb84f6668f66bb
0.6551,0.00,Yankwada Health Post,Yan Kwada Health Post,xwd:sha256:b608ac36386414c0b9623630c52b7fc0f1efbcdf730649c3ba531f882bf5f508
