id,name,amenity,healthcare,lga,lat,lon
way/291932151,Yautar Kudu Primary Health Centre,hospital,hospital,Gabasawa,12.1967099,8.7588917
way/292037269,Satame Health Post,hospital,hospital,Makoda,12.2902127,8.5301816
way/292037270,Tashar Basa Health Post,hospital,hospital,Makoda,12.3358147,8.4449942
way/292037271,Fagwalo Health Post,hospital,hospital,Dambatta,12.3638565,8.4652661
way/292037272,Jigawa Satame Health Post,hospital,hospital,Makoda,12.3169513,8.5604407
way/292037273,Zuru Felele Health Post,hospital,hospital,Makoda,12.3466434,8.5386056
way/292037275,Shantake Health Post,hospital,hospital,Makoda,12.3457344,8.5177873
way/292037276,Dalal Health Post,hospital,hospital,Makoda,12.3682878,8.5165865
way/292037277,Kauyen Mai Unguwar Primary Health Centre,hospital,hospital,Dambatta,12.3712822,8.4865821
way/292037278,Fagwalo Health Post,hospital,hospital,Bichi,12.3009093,8.4432675
way/292037280,Tangaji Health Post,hospital,hospital,Makoda,12.3052896,8.4875836
way/292037281,Wailare Health Post,hospital,hospital,Makoda,12.2680536,8.5297134
way/292037282,Dawon Kaya Health Post,hospital,hospital,Makoda,12.3018921,8.5408387
way/292037283,Jemomi Health Post,hospital,hospital,Dawakin Tofa,12.2452897,8.4996257
way/292037284,Takau Health Post,hospital,hospital,Dambatta,12.3680472,8.5939851
way/292037285,Yatsi Health Post,hospital,hospital,Bichi,12.2547517,8.4706459
way/292037286,Shiddar Health Post,hospital,hospital,Dambatta,12.3749251,8.5669719
way/292037287,Bakarari Health Post,hospital,hospital,Makoda,12.2814739,8.4982549
way/292037288,Kungu Health Post,hospital,hospital,Bichi,12.2705635,8.4451252
way/292037289,Roba Health Post,hospital,hospital,Dawakin Tofa,12.2354817,8.4801053
way/292037290,Dalal Mahuta Health Post,hospital,hospital,Dambatta,12.3213357,8.6067635
way/292037291,Sabon Ruwa Health Post,hospital,hospital,Makoda,12.372223,8.437981
way/292037292,Maitsidau Primary Health Centre,hospital,hospital,Makoda,12.3549579,8.4962487
way/292045547,Sabon Gari Doka Health Post,hospital,hospital,Ungongo,12.0875362,8.4483658
way/292045548,Katsinawa Health Post,hospital,hospital,Ungongo,12.0618109,8.4487744
way/292045549,Rijiyar Lemo Maternal and Child Health,hospital,hospital,Fagge,12.0547542,8.4773192
way/292045550,Gyaranya Health Post,hospital,hospital,Minjibir,12.1961826,8.5902637
way/292045551,Yammata Health Post,hospital,hospital,Fagge,12.0640423,8.4724466
way/292045552,Galula Health Post,hospital,hospital,Ungongo,12.0425333,8.573529
way/292045553,Sabon Gari Rangaza Primary Health Centre,hospital,hospital,Ungongo,12.0553649,8.6056258
way/292045554,Fango Health Post,hospital,hospital,Dawakin Tofa,12.175739,8.446416
way/292045555,Kurna Primary Health Centre,hospital,hospital,Dala,12.0447931,8.4813454
way/292045931,Baguja Health Post,hospital,hospital,Ungongo,12.1010154,8.5212102
way/292045932,Kwuidawa Health Post,hospital,hospital,Dawakin Tofa,12.1642566,8.4750737
way/292045933,Kuru Health Post,hospital,hospital,Minjibir,12.1694524,8.5296776
way/292045934,Bachirawa Health Post,hospital,hospital,Ungongo,12.0579555,8.4634804
way/292045935,Inusawa Primary Health Centre,hospital,hospital,Ungongo,12.0689978,8.5966728
way/292045936,Danrirmi Health Post,hospital,hospital,Ungongo,12.0582382,8.4889711
way/292045937,Tudun Bojuwa Health Post,hospital,hospital,Fagge,12.0498562,8.4869715
way/292046199,Shauni Primary Health Centre,hospital,hospital,Ungongo,12.0479093,8.6089496
way/292046261,Tsakiya Health Post,hospital,hospital,Minjibir,12.1381189,8.5514347
way/292047625,Nigerian Air Force Primary Health Centre,hospital,hospital,Fagge,12.045089,8.531647
way/292047626,Jalli Health Post,hospital,hospital,Dawakin Tofa,12.1842785,8.462431
way/292047627,Gayawa Primary Health Centre,hospital,hospital,Ungongo,12.0550908,8.5621654
way/292047628,Sambauna Primary Health Centre,hospital,hospital,Minjibir,12.1247811,8.5986521
way/292047868,Dalal Primary Health Centre,hospital,hospital,Ungongo,12.0457814,8.5672167
