id,name,alternate_name,category,lga,ward_code,lon,lat
ad5a76a0-ec9e-4fb9-aeec-29934f307572,Akata Basic Health Center,Abeala Basic Health Center,Primary Health Center,Ilaje,ODSIAE07,4.79338000000007,6.14247000000006
aeb5fdf5-308e-4292-bbb5-2bc8df67ef53,Okunmo Basic Health Center,,Primary Health Center,Okitipupa,ODSPUP01,4.773110000000031,6.442190000000039
d32c9120-d6d3-44ba-8ac1-a34a7b7a1261,Opd Health Ore,,Primary Health Center,Odigbo,ODSODI10,4.87549000000007,6.734100000000069
732f83d3-784d-4420-a3d6-61d2c0fd4e3f,Omifon Odigbo Basic Health Center,,Primary Health Center,Odigbo,ODSODI10,4.87578000000002,6.742160000000069
bc9c9111-28c8-4b5a-9c87-410b3ca6a06d,Igbindo Basic Health Center,,Primary Health Center,Ondo West,ODSOWT01,4.71452000000005,6.9641900000000305
acafc604-de54-437a-9cce-49c2d2423da4,Akowonjo Basic Health Center,,Primary Health Center,Akoko South West,ODSASW15,5.61701000000005,7.44798000000003
230edafe-4e55-41ff-8c46-b55ece5d2cde,Danjuma Basic Health Center,,Primary Health Center,Akure South,ODSAKS02,5.176700000000039,7.24786000000006
4f8eeddb-ae05-4b4b-b0df-e2d751ce6392,Igbe Primary Health Center,,Primary Health Center,Owo,ODSOWO10,5.622560000000021,7.140140000000031
d777f3a5-0b1f-417c-962a-be4d3fa0af66,Isuada Primary Health Center,,Primary Health Center,Owo,ODSOWO03,5.584450000000061,7.226610000000051
d9dc48f7-6fb7-4c58-a688-6d5705f39feb,Owo National Primary Health Care,,Primary Health Center,Owo,ODSOWO10,5.609850000000051,7.168730000000039
4dd4046d-48ff-46d4-b514-308b2271e67b,Orisa Ikare Basic Health Center,,Primary Health Center,Akoko North East,ODSANE11,5.74517000000003,7.516330000000039
